provider_reference,negotiated_rate,billing_code,billing_code_type,negotiation_arrangement,negotiated_type,billing_class
53039,211.430000,0002M,CPT,ffs,negotiated,professional
7370,302.040000,0002M,CPT,ffs,negotiated,professional
15660,755.100000,0002M,CPT,ffs,negotiated,professional
36118,211.430000,0002M,CPT,ffs,negotiated,professional
22357,302.040000,0002M,CPT,ffs,negotiated,professional
39234,211.430000,0002M,CPT,ffs,negotiated,professional
8449,302.040000,0002M,CPT,ffs,negotiated,professional
41007,211.430000,0002M,CPT,ffs,negotiated,professional
42835,211.430000,0002M,CPT,ffs,negotiated,professional
37478,226.530000,0002M,CPT,ffs,negotiated,professional
52905,226.530000,0002M,CPT,ffs,negotiated,professional
6487,211.430000,0002M,CPT,ffs,negotiated,professional
60786,211.430000,0002M,CPT,ffs,negotiated,professional
10662,302.040000,0002M,CPT,ffs,negotiated,professional
44804,503.400000,0002M,CPT,ffs,negotiated,professional
14364,302.040000,0002M,CPT,ffs,negotiated,professional
37899,211.430000,0002M,CPT,ffs,negotiated,professional
55813,211.430000,0002M,CPT,ffs,negotiated,professional
60309,211.430000,0002M,CPT,ffs,negotiated,professional
35008,211.430000,0002M,CPT,ffs,negotiated,professional
33151,302.040000,0002M,CPT,ffs,negotiated,professional
48959,211.430000,0002M,CPT,ffs,negotiated,professional
51254,211.430000,0002M,CPT,ffs,negotiated,professional
29176,302.040000,0002M,CPT,ffs,negotiated,professional
671,226.530000,0002M,CPT,ffs,negotiated,professional
13354,211.430000,0002M,CPT,ffs,negotiated,professional
9915,211.430000,0002M,CPT,ffs,negotiated,professional
59520,302.040000,0002M,CPT,ffs,negotiated,professional
6416,211.430000,0002M,CPT,ffs,negotiated,professional
45303,251.700000,0002M,CPT,ffs,negotiated,professional
2160,251.700000,0002M,CPT,ffs,negotiated,professional
15063,211.430000,0002M,CPT,ffs,negotiated,professional
29688,251.700000,0002M,CPT,ffs,negotiated,professional
2009,211.430000,0002M,CPT,ffs,negotiated,professional
45840,503.400000,0002M,CPT,ffs,negotiated,professional
46543,211.430000,0002M,CPT,ffs,negotiated,professional
31177,211.430000,0002M,CPT,ffs,negotiated,professional
9016,211.430000,0002M,CPT,ffs,negotiated,professional
61261,211.430000,0002M,CPT,ffs,negotiated,professional
43573,211.430000,0002M,CPT,ffs,negotiated,professional
23513,302.040000,0002M,CPT,ffs,negotiated,professional
22389,211.430000,0002M,CPT,ffs,negotiated,professional
30184,211.430000,0002M,CPT,ffs,negotiated,professional
7141,211.430000,0002M,CPT,ffs,negotiated,professional
11130,211.430000,0002M,CPT,ffs,negotiated,professional
8808,211.430000,0002M,CPT,ffs,negotiated,professional
20947,211.430000,0002M,CPT,ffs,negotiated,professional
15476,302.040000,0002M,CPT,ffs,negotiated,professional
22796,302.040000,0002M,CPT,ffs,negotiated,professional
17957,211.430000,0002M,CPT,ffs,negotiated,professional
34431,211.430000,0002M,CPT,ffs,negotiated,professional
26756,211.430000,0002M,CPT,ffs,negotiated,professional
52348,503.400000,0002M,CPT,ffs,negotiated,professional
14976,211.430000,0002M,CPT,ffs,negotiated,professional
22049,1466.910000,0002M,CPT,ffs,negotiated,professional
51374,211.430000,0002M,CPT,ffs,negotiated,professional
16283,211.430000,0002M,CPT,ffs,negotiated,professional
50620,211.430000,0002M,CPT,ffs,negotiated,professional
41970,302.040000,0002M,CPT,ffs,negotiated,professional
7836,176.190000,0002M,CPT,ffs,negotiated,professional
55974,211.430000,0002M,CPT,ffs,negotiated,professional
6001,276.870000,0002M,CPT,ffs,negotiated,professional
39269,348.630000,0002M,CPT,ffs,negotiated,professional
849,503.400000,0002M,CPT,ffs,negotiated,professional
18728,251.700000,0002M,CPT,ffs,negotiated,professional
33639,211.430000,0002M,CPT,ffs,negotiated,professional
21095,211.430000,0002M,CPT,ffs,negotiated,professional
31392,251.700000,0002M,CPT,ffs,negotiated,professional
177,211.430000,0002M,CPT,ffs,negotiated,professional
24661,302.040000,0002M,CPT,ffs,negotiated,professional
43364,211.430000,0002M,CPT,ffs,negotiated,professional
17884,251.700000,0002M,CPT,ffs,negotiated,professional
18128,211.430000,0002M,CPT,ffs,negotiated,professional
5012,302.040000,0002M,CPT,ffs,negotiated,professional
17644,302.040000,0002M,CPT,ffs,negotiated,professional
39179,211.430000,0002M,CPT,ffs,negotiated,professional
38640,211.430000,0002M,CPT,ffs,negotiated,professional
18785,211.430000,0002M,CPT,ffs,negotiated,professional
39005,270.930000,0002M,CPT,ffs,negotiated,professional
41460,211.430000,0002M,CPT,ffs,negotiated,professional
29166,302.040000,0002M,CPT,ffs,negotiated,professional
28598,302.040000,0002M,CPT,ffs,negotiated,professional
53911,503.400000,0002M,CPT,ffs,negotiated,professional
17552,211.430000,0002M,CPT,ffs,negotiated,professional
31091,251.700000,0002M,CPT,ffs,negotiated,professional
10410,211.430000,0002M,CPT,ffs,negotiated,professional
46432,211.430000,0002M,CPT,ffs,negotiated,professional
23582,176.190000,0002M,CPT,ffs,negotiated,professional
42614,241.630000,0002M,CPT,ffs,negotiated,professional
54644,256.730000,0002M,CPT,ffs,negotiated,professional
6154,302.040000,0002M,CPT,ffs,negotiated,professional
25381,211.430000,0002M,CPT,ffs,negotiated,professional
5005,211.430000,0002M,CPT,ffs,negotiated,professional
13607,211.430000,0002M,CPT,ffs,negotiated,professional
25618,211.430000,0002M,CPT,ffs,negotiated,professional
53335,211.430000,0002M,CPT,ffs,negotiated,professional
